N,p,M,avg_steps,fraction_reached_bottom,avg_wall_time_s
50,0.1,50,1.6,0,
50,0.2,50,3.02,0,
50,0.3,50,5.5,0,
50,0.4,50,10.32,0,
50,0.5,50,19.78,0,0.00011418
50,0.6,50,80.54,0.6,0.00028028
50,0.7,50,78.22,1,0.0003595
50,0.8,50,63.34,1,0.00038666
50,0.9,50,56.44,1,0.00031174
100,0.1,50,1.94,0,0.00014836
100,0.2,50,3.64,0,0.00021072
100,0.3,50,6.18,0,0.00015586
100,0.4,50,12.6,0,0.000148
100,0.5,50,32.42,0,0.0003921
100,0.6,50,195.46,0.64,0.0016443
100,0.7,50,145.62,1,0.001416
100,0.8,50,121.64,1,0.00119052
100,0.9,50,110.66,1,0.00110296
150,0.1,50,2.24,0,0.00027656
150,0.2,50,3.88,0,0.00038316
150,0.3,50,7.66,0,0.00052604
150,0.4,50,13.92,0,0.0005394
150,0.5,50,33.56,0,0.000915
150,0.6,50,307.04,0.72,0.00576182
150,0.7,50,210.96,1,0.0040747
150,0.8,50,180.74,1,0.00341882
150,0.9,50,164.26,1,0.003374
200,0.1,50,2.4,0,0.00046064
200,0.2,50,4.74,0,0.00059936
200,0.3,50,8.28,0,0.00081212
200,0.4,50,14.3,0,0.00104442
200,0.5,50,35.22,0,0.00210644
200,0.6,50,443.42,0.84,0.0168827
200,0.7,50,280.16,1,0.0097627
200,0.8,50,238.1,1,0.0082698
200,0.9,50,218,1,0.00744648
