N,p,M,avg_steps,fraction_reached_bottom,avg_wall_time_s
100,0.1,50,1.76,0,
100,0.3,50,6.94,0,0.0001742
100,0.5,50,28.92,0,0.00041104
100,0.7,50,146.22,1,0.00132766
100,0.9,50,110.64,1,0.00128428
100,0.6,10,201,0.9,0.0022201
100,0.6,20,188.3,0.7,0.00195345
100,0.6,30,201.6,0.633333,0.00229077
100,0.6,40,203.25,0.625,0.00224155
100,0.6,50,202.16,0.62,0.00184382
100,0.6,60,198.617,0.633333,0.0019564
100,0.6,70,190.343,0.685714,0.00191516
100,0.6,80,185.963,0.65,0.00183833
100,0.6,90,187.411,0.655556,0.00197066
100,0.6,100,198.23,0.72,0.0018709
