N,nprocs,avg_steps,fraction_reached_bottom,avg_time_seconds,speedup,efficiency
50,1,80.56,0.52,0.00061688,1.0,1.0
50,2,85.4,0.7,0.00058398,1.05634,0.52817
50,4,84.72,0.64,0.000483535,1.27577,0.318943
50,8,75.82,0.54,0.000400346,1.54087,0.192609
50,16,86.78,0.62,0.00182878,0.337318,0.0210824
100,1,193.18,0.74,0.0083785,1.0,1.0
100,2,198.22,0.76,0.00486074,1.72371,0.861855
100,4,197.46,0.68,0.00229211,3.65537,0.913843
100,8,192.72,0.64,0.00159519,5.25235,0.656544
100,16,200.36,0.66,0.00541304,1.54784,0.09674
500,1,1236.98,0.96,1.58041,1.0,1.0
500,2,1264.32,0.92,0.881641,1.79258,0.89629
500,4,1266.78,0.94,0.461425,3.42506,0.856265
500,8,1219.82,0.92,0.232617,6.79404,0.849255
500,16,1306.8,0.94,0.241936,6.53235,0.408272
