N,nprocs,avg_steps,fraction_reached_bottom,avg_time_seconds,speedup,efficiency
50,1,82.98,0.64,0.00045888,1.0,1.0
50,2,82.98,0.64,0.00037462,1.22492,0.61246
50,4,82.98,0.64,0.00035358,1.29781,0.324452
50,8,82.98,0.64,0.0006215,0.738343,0.0922929
50,16,,,,,0
100,1,209.54,0.78,0.0054632,1.0,1.0
100,2,193.68,0.68,0.00274212,1.99233,0.996165
100,4,193.68,0.68,0.00175506,3.11283,0.778208
100,8,193.68,0.68,0.00201162,2.71582,0.339477
100,16,,,,,0
500,1,1233.32,0.9,1.00119,1.0,1.0
500,2,1264.04,0.9,0.591717,1.69201,0.846005
500,4,1246.06,0.94,0.314275,3.18571,0.796427
500,8,1248.98,0.9,0.215789,4.63967,0.579959
500,16,,,,,0
