N,nprocs,avg_steps,fraction_reached_bottom,avg_time_seconds,speedup,efficiency
50,1,97.68,0.78,0,NA,NA
50,2,97.68,0.78,0,NA,NA
50,4,97.68,0.78,0,NA,NA
50,8,97.68,0.78,0,NA,NA
50,16,89.14,0.66,0,NA,NA
50,32,89.98,0.62,0,NA,NA
100,1,177.5,0.56,0,NA,NA
100,2,191.2,0.7,0,NA,NA
100,4,191.2,0.7,0,NA,NA
100,8,191.2,0.7,0,NA,NA
100,16,196.92,0.68,0,NA,NA
100,32,196.46,0.66,0,NA,NA
500,1,1322.42,0.9,0,NA,NA
500,2,1249.62,0.94,0,NA,NA
500,4,1297.4,0.96,0,NA,NA
500,8,1200.8,0.86,0,NA,NA
500,16,1268.16,0.94,0,NA,NA
500,32,1239.66,0.92,0,NA,NA
