N,p,M,avg_steps,fraction_reached_bottom,avg_wall_time_s
100,0.1,50,1.72,0,0.0001493
100,0.3,50,6.5,0,0.00027838
100,0.5,50,34.3,0,0.00046772
100,0.7,50,144.42,1,0.00148648
100,0.9,50,110.66,1,0.00125258
100,0.6,10,197.5,0.8,0.0024504
100,0.6,20,199.75,0.75,0.0023952
100,0.6,30,198.8,0.733333,0.00188647
100,0.6,40,174.525,0.6,0.00168045
100,0.6,50,170.86,0.58,0.00155222
100,0.6,60,169.833,0.55,0.00156285
100,0.6,70,174.5,0.571429,0.00155573
100,0.6,80,175.025,0.5875,0.00169698
100,0.6,90,195.4,0.711111,0.00186231
100,0.6,100,194.02,0.68,0.00174278
